ID,Sektor,Total,Padat_Ditimbun_di_TPA,Padat_Ditimbun_Lubang,Padat_Kompos,Padat_3R,Padat_ins_sampah_domestik,Padat_ins_sampah_industri,Padat_dibakar_terbuka,Padat_tidak_terkelola,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL_Aerob,Cair_IPAL_Anaerob,Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_3R
1, Padi,21387485.1,0,0,6685131.758,0,0,0,6685131.758,7852376.985,160163.0134,0,0,675.86286,4005.72378,0,0,0
2, Jagung,1561946.176,0,0,0,460712.1288,0,0,0,1074994.967,25493.89013,0,0,107.580228,637.609644,0,0,0
3, Ketela Pohon,624557.61,0,0,0,184033.575,0,0,0,429411.675,10796.76898,0,0,45.560676,270.030348,0,0,0
4, Umbi Lainnya,33336.42,0,0,0,8266.23,0,0,0,19287.87,5618.102112,0,0,23.707512,140.510376,0,0,0
5, Bawang Merah,85361.94,0,0,0,18876.222,0,0,0,44044.518,21803.86992,0,0,92.00892,545.32116,0,0,0
6, Sayur-Sayuran,337283.655,0,0,0,81801.9405,0,0,0,190871.1945,62775.58123,0,0,264.903132,1570.035636,0,0,0
7, Pisang,93061.26,0,0,0,25408.35,0,0,0,59286.15,8129.144016,0,0,34.303716,203.312268,0,0,0
8, Buah-Buahan,215051.82,0,0,0,57354.174,0,0,0,133826.406,23193.29678,0,0,97.872084,580.071132,0,0,0
9, Kacang Tanah,22430.58,0,0,0,5761.35,0,0,0,13443.15,3134.459328,0,0,13.226928,78.393744,0,0,0
10, Kacang Lainnya,29716.89,0,0,0,7361.775,0,0,0,17177.475,5030.595024,0,0,21.228324,125.816652,0,0,0
11, Bahan Makanan Lainnya,24728.5392,0,0,0,6786.76176,0,0,0,15835.77744,2046.1896,0,0,8.6346,51.1758,0,0,0
12, Karet,7695.361,0,1406.401,0,0,0,0,0,0,6110.353536,0,0,25.784736,152.821728,0,0,0
13, Tebu,57207.9,0,0,0,16618.086,0,0,0,38775.534,1762.754448,0,0,7.438548,44.087004,0,0,0
14, Kelapa,882034.8421,0,0,0,0,0,0,0,494978.2682,0,0,0,0,0,0,0,387056.5739
15, Tembakau,24914.781,0,0,0,1393.7463,0,0,0,3252.0747,19693.32154,0,0,83.102736,492.535728,0,0,0
16, Kopi,6464.619,0,0,0,914.0337,0,0,0,2132.7453,3320.773344,0,0,14.013144,83.053512,0,0,0
17, Cengkeh,5097.5505,0,0,0,281.75715,0,0,0,657.43335,4040.262576,0,0,17.049276,101.048148,0,0,0
18, Hasil Tanaman Serat,5746.6875,0,0,0,1059.01425,0,0,0,2471.03325,2153.687424,0,0,9.088224,53.864352,0,0,0
19, Perkebunan Teh ,4649.2035,0,0,0,1173.64905,0,0,0,2738.51445,716.108064,0,0,3.021864,17.910072,0,0,0
20, Hasil Perkebunan Lainnya,16329.0675,0,0,0,788.34825,0,0,0,1839.47925,13312.12478,0,0,56.175084,332.940132,0,0,0
21, Hasil Pertanian Lainnya,11359.065,0,0,0,1121.8275,0,0,0,2617.5975,7403.242224,0,0,31.240524,185.157252,0,0,0
22, Ternak dan Hasil-hasilnya,1233121.05,0,0,0,0,0,0,0,205520.175,0,0,0,0,1027600.875,0,0,0
23, Unggas dan Hasil-hasilnya,21966778.54,0,0,0,7898.562,0,0,0,18429.978,0,0,0,0,21940450,0,0,0
24, Kayu,40088.97,0,0,0,7808.50125,0,0,0,19589.74875,12330.30355,0,0,52.031952,308.384496,0,0,0
25, Hasil Hutan Lainnya,23801.448,0,0,0,5636.61828,0,0,0,14140.98972,3909.562944,0,0,16.497744,97.779312,0,0,0
26, Ikan Laut dan Hasil Laut Lainnya,13950.47091,0,0,0,4291.915454,0,0,0,4291.915454,5214.227424,0,0,22.003224,130.409352,0,0,0
27, Ikan Darat dan Hasil Perairan Darat,32943.79777,0,0,0,7553.858887,0,0,0,7553.858887,17329.53533,0,0,73.127928,433.416744,0,0,0
28, Jasa Pertanian,1517.577,0.2090604,0.0843798,0.0484869,0,0,0,5.2170645,0.7380084,1468.359648,0,0,6.196248,36.724104,0,0,0
29, Garam Kasar,468.504,0.0645408,0.0260496,0.0149688,0,0,0,1.610604,0.2278368,453.309696,0,0,1.912896,11.337408,0,0,0
30, Pertambangan Lainnya,118.9335,0.0163842,0.0066129,0.00379995,0,0,0,0.40886475,0.0578382,115.076304,0,0,0.485604,2.878092,0,0,0
31, Barang Galian Segala Jenis,7658.8595,1.0550794,0.4258453,0.24470215,0,0,0,26.32931575,3.7245574,7410.470928,0,0,31.271028,185.338044,0,0,0
32, Ind. Pengolahan dan Pengawetan Makanan,5359.9605,0.7383846,0.2980227,0.17125185,0,0,0,18.42625425,2.6065866,5186.128752,0,0,21.884652,129.706596,0,0,0
33, Ind. Minyak dan Lemak,13624.694,1.8769288,0.7575556,0.4353118,0,0,0,46.838419,6.6257848,13182.82426,0,0,55.629456,329.706288,0,0,0
34, Ind. Penggilingan Padi,16272.561,2.2416972,0.9047814,0.5199117,0,0,0,55.9411485,7.9134612,15744.81686,0,0,66.440664,393.782472,0,0,0
35, Ind. Tepung Terigu dan Tepung Lainnya,2452.657,0.3378764,0.1363718,0.0783629,0,0,0,8.4316445,1.1927444,2373.113568,0,0,10.014168,59.352264,0,0,0
36, Ind. Roti dan Kue Kering Lainya,5526.0095,0.7612594,0.3072553,0.17655715,0,0,0,18.99709075,2.6873374,5346.792528,0,0,22.562628,133.724844,0,0,0
37, Ind. Kopi Giling dan Kupasan,2257.3265,0.3109678,0.1255111,0.07212205,0,0,0,7.76014525,1.0977538,2184.117936,0,0,9.216636,54.625428,0,0,0
38, Ind. Makanan Lainnya,8657.443,1.1926436,0.4813682,0.2766071,0,0,0,29.7622055,4.2101756,8376.668832,0,0,35.348232,209.502936,0,0,0
39, Ind. Bumbu Masak dan Penyedap Makanan,752.643,0.1036836,0.0418482,0.0240471,0,0,0,2.5874055,0.3660156,728.233632,0,0,3.073032,18.213336,0,0,0
40, Ind. Makanan Ternak,3442.203,0.4741956,0.1913922,0.1099791,0,0,0,11.8334655,1.6739676,3330.567072,0,0,14.054472,83.298456,0,0,0
41, Ind. Gula Tebu dan Gula Kelapa,24854.571,3.4239492,1.3819554,0.7941087,0,0,0,85.4440335,12.0869532,24048.4991,0,0,101.480904,601.459992,0,0,0
42, Ind. Minuman,3025.6345,0.4168094,0.1682303,0.09666965,0,0,0,10.40140325,1.4713874,2927.508528,0,0,12.353628,73.217844,0,0,0
43, Ind. Rokok,25893.4015,3.5670578,1.4397161,0.82729955,0,0,0,89.01528275,12.5921438,25053.63874,0,0,105.722436,626.598828,0,0,0
44, Ind. Pengolahan Tembakau selain rokok,1534.3265,0.2113678,0.0853111,0.04902205,0,0,0,5.27464525,0.7461538,1484.565936,0,0,6.264636,37.129428,0,0,0
45, Ind. Pemintalan,2251.904,0.3102208,0.1252096,0.0719488,0,0,0,7.741504,1.0951168,2178.871296,0,0,9.194496,54.494208,0,0,0
46, Ind. Tekstil,27092.1355,3.7321946,1.5063677,0.86559935,0,0,0,93.13624175,13.1750966,26213.49595,0,0,110.616852,655.607196,0,0,0
47, Ind. Tekstil Jadi dan Tekstil Lainnya,1024.1295,0.1410834,0.0569433,0.03272115,0,0,0,3.52071075,0.4980414,990.915408,0,0,4.181508,24.783084,0,0,0
48, Ind. Pakaian Jadi,3237.9555,0.4460586,0.1800357,0.10345335,0,0,0,11.13131175,1.5746406,3132.943632,0,0,13.220532,78.355836,0,0,0
49, Ind. Kulit dan Alas Kaki,14493.017,1.9965484,0.8058358,0.4630549,0,0,0,49.8235045,7.0480564,14022.98621,0,0,59.174808,350.718984,0,0,0
50, Ind. Kayu dan Bahan Bangunan dari Kayu,13278.136,1.8291872,0.7382864,0.4242392,0,0,0,45.647036,6.4572512,12847.50566,0,0,54.214464,321.319872,0,0,0
51, Ind. Perabot Rumah Tangga dari Kayu,12520.914,1.7248728,0.6961836,0.4000458,0,0,0,43.043889,6.0890088,12114.84154,0,0,51.122736,302.995728,0,0,0
52, Ind. Kertas dan Barang dari Kertas,1632.052,0.2248304,0.0907448,0.0521444,0,0,0,5.610602,0.7936784,1579.122048,0,0,6.663648,39.494304,0,0,0
53, Penerbitan dan Percetakan,1574.453,0.2168956,0.0875422,0.0503041,0,0,0,5.4125905,0.7656676,1523.391072,0,0,6.428472,38.100456,0,0,0
54, Ind. Farmasi dan Jamu Tradisional,7857.9255,1.0825026,0.4369137,0.25106235,0,0,0,27.01365675,3.8213646,7603.080912,0,0,32.083812,190.155276,0,0,0
55, Ind. Kimia dan Pupuk,5605.178,0.7721656,0.3116572,0.1790866,0,0,0,19.269253,2.7258376,5423.393472,0,0,22.885872,135.640656,0,0,0
56, Ind. Pengilangan Minyak,145212.622,20.0043944,8.0740628,4.6395734,0,0,0,499.206047,70.6179224,140503.1537,0,0,592.901328,3514.024944,0,0,0
57, Ind. Karet dan Barang dari Karet,4292.21,0.591292,0.238654,0.137137,0,0,0,14.755585,2.087332,4153.00704,0,0,17.52504,103.86792,0,0,0
58, Ind. Plastik dan Barang dari Plastik,4353.3035,0.5997082,0.2420509,0.13908895,0,0,0,14.96560975,2.1170422,4212.119184,0,0,17.774484,105.346332,0,0,0
59, Ind. Barang Mineral Bukan Logam,4700.3435,0.6475162,0.2613469,0.15017695,0,0,0,16.15864975,2.2858102,4547.904144,0,0,19.191444,113.744412,0,0,0
60, Ind. Semen,1898.598,0.2615496,0.1055652,0.0606606,0,0,0,6.526923,0.9233016,1837.023552,0,0,7.751952,45.944496,0,0,0
61, Ind. Kapur dan Barang dari Semen,1247.0545,0.1717934,0.0693383,0.03984365,0,0,0,4.28707325,0.6064514,1206.610608,0,0,5.091708,30.177684,0,0,0
62, Ind. Dasar Baja dan Besi,407.6515,0.0561578,0.0226661,0.01302455,0,0,0,1.40140775,0.1982438,394.430736,0,0,1.664436,9.864828,0,0,0
63, Ind. Logam Bukan Besi dan Barang dari Logam,1955.5945,0.2694014,0.1087343,0.06248165,0,0,0,6.72286325,0.9510194,1892.171568,0,0,7.984668,47.323764,0,0,0
64, Ind. Mesin dan Perlengkapan Listrik,2700.0435,0.3719562,0.1501269,0.08626695,0,0,0,9.28209975,1.3130502,2612.476944,0,0,11.024244,65.338812,0,0,0
65, Ind. Alat Angkutan dan Perbaikannya,2238.89,0.308428,0.124486,0.071533,0,0,0,7.696765,1.088788,2166.27936,0,0,9.14136,54.17928,0,0,0
66, Ind. Barang Lainnya,867.2385,0.1194702,0.0482199,0.02770845,0,0,0,2.98135725,0.4217442,839.112624,0,0,3.540924,20.986452,0,0,0
67, Listrik dan Gas,909.2390017,0,370.0520112,97.25338043,98.47312543,0,0,0,0.009809957,0,0,0,0,4.045532013,0,279.1685912,60.23655142
68, Air Minum,2299374.179,1232.283175,2425.905327,472.4654394,0,0,0,5000.159082,2227.245977,765.9383798,0,31114.14854,0.865428,2256135.168,0,0,0
69, Bangunan Tempat Tinggal dan Bukan Tempat Tinggal,41331.8615,5.6938498,2.2981201,1.32056155,0,0,0,142.0889928,20.0999758,39991.40578,0,0,168.757476,1000.196748,0,0,0
70, Bangunan Lainnya,75113.675,10.34761,4.176445,2.3998975,0,0,0,258.2227375,36.52831,72677.6232,0,0,306.6882,1817.6886,0,0,0
71, Perdagangan,445140.8575,61.322309,24.7505705,14.22234275,0,0,0,1530.287139,216.475139,430704.2561,0,0,1817.50458,10772.03934,0,0,0
72, Jasa Restoran,3987.827,0.5493604,0.2217298,0.1274119,0,0,0,13.7091895,1.9393084,3858.495648,0,0,16.282248,96.502104,0,0,0
73, Jasa Perhotelan,7923.825,0,0,0,0,0,0,0,0,0,0,0,5546.6775,2377.1475,0,0,0
74, Jasa Angkutan Kereta Api,69123.38085,0,346.748853,0,0,0,0,0,0,0,0,0,48143.6424,20632.9896,0,0,0
75, Jasa Angkutan Jalan Raya,2909629.394,0,14595.7944,0,0,0,0,0,0,0,0,0,2026523.52,868510.08,0,0,0
76, Angkutan Air,14172623.45,0,71.453283,0,0,0,0,0,0,0,0,0,9920786.4,4251765.6,0,0,0
77, Angkutan Udara,418775.2401,0,584.009404,0,0,0,0,0,0,0,0,209095.6154,146366.9308,62728.68461,0,0,0
78, Jasa Penunjang Angkutan,2026.6895,0.2791954,0.1126873,0.06475315,0,0,0,6.96727075,0.9855934,1960.960848,0,0,8.274948,49.044204,0,0,0
79, Jasa Komunikasi,9250.544,1.2743488,0.5143456,0.2955568,0,0,0,31.801144,4.4986048,8950.534656,0,0,37.769856,223.855488,0,0,0
80, Jasa Bank,16995.9225,2.341347,0.9450015,0.54302325,0,0,0,58.42789125,8.265237,16444.71864,0,0,69.39414,411.28722,0,0,0
81, Jasa Lembaga Keuangan Lainnya,20946.997,2.8856444,1.1646878,0.6692609,0,0,0,72.0107345,10.1866724,20267.65373,0,0,85.526328,506.899944,0,0,0
82, Real Estate dan Jasa Perusahaan,5353.4535,0.7374882,0.2976609,0.17104395,0,0,0,18.40388475,2.6034222,5179.832784,0,0,21.858084,129.549132,0,0,0
83, Pemerintahan Umum dan Pertahanan,227447.847,31.3330644,12.6464778,7.2670059,0,0,0,781.9109595,110.6094924,220071.3641,0,0,928.666728,5504.049144,0,0,0
84, Jasa Pendidikan Swasta,17316.332,2.3854864,0.9628168,0.5532604,0,0,0,59.529382,8.4210544,16754.73677,0,0,70.702368,419.040864,0,0,0
85, Jasa Kesehatan Swasta,1464.6775,0.201773,0.0814385,0.04679675,0,0,0,5.03520875,0.712283,1417.17576,0,0,5.98026,35.44398,0,0,0
86, Jasa Hiburan,773.7305,0.1065886,0.0430207,0.02472085,0,0,0,2.65989925,0.3762706,748.637232,0,0,3.159132,18.723636,0,0,0
87, Jasa-Jasa Lainnya,20051.5615,2.7622898,1.1149001,0.64065155,0,0,0,68.93244275,9.7512158,19401.25858,0,0,81.870276,485.231148,0,0,0
88, Kegiatan yang belum jelas batasannya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
