Padi ,Pertanian Kehutanan dan Perikanan
Jagung ,Pertanian Kehutanan dan Perikanan
Ubi Jalar ,Pertanian Kehutanan dan Perikanan
Umbi-Umbian Lainnya ,Pertanian Kehutanan dan Perikanan
Kacang-Kacangan Dan Serelia ,Pertanian Kehutanan dan Perikanan
Sayur-Sayuran ,Pertanian Kehutanan dan Perikanan
Buah-Buahan ,Pertanian Kehutanan dan Perikanan
Karet ,Pertanian Kehutanan dan Perikanan
Kelapa Sawit ,Pertanian Kehutanan dan Perikanan
Kelapa ,Pertanian Kehutanan dan Perikanan
Kopi ,Pertanian Kehutanan dan Perikanan
Kakao ,Pertanian Kehutanan dan Perikanan
Pinang ,Pertanian Kehutanan dan Perikanan
Tanaman Perkebunan Lainnya ,Pertanian Kehutanan dan Perikanan
Sagu ,Pertanian Kehutanan dan Perikanan
Ternak Besar ,Pertanian Kehutanan dan Perikanan
Ternak Kecil Lainnya ,Pertanian Kehutanan dan Perikanan
Babi ,Pertanian Kehutanan dan Perikanan
Unggas Dan Hasil-Hasilnya ,Pertanian Kehutanan dan Perikanan
Jasa Pertanian Dan Perburuan ,Pertanian Kehutanan dan Perikanan
Kayu ,Pertanian Kehutanan dan Perikanan
Hasil Hutan Lainnya ,Pertanian Kehutanan dan Perikanan
Ikan Laut ,Pertanian Kehutanan dan Perikanan
Hasil Perikanan Laut Lainnya ,Pertanian Kehutanan dan Perikanan
Perikanan Darat ,Pertanian Kehutanan dan Perikanan
Bijih Tembaga ,Pertambangan dan Penggalian
Bijih Logam Mulia ,Pertambangan dan Penggalian
Barang Pertambangan Dan Penggalian Lainnya ,Industri Pengolahan
Industri Pengolahan Pengawetan Produk Daging  dan Unggas ,Industri Pengolahan
Industri Tempe Kedelai ,Industri Pengolahan
Industri Penggilingan Pengupasan Dan Pembersihan Padi-Padian Dan Biji-Bijian ,Industri Pengolahan
Industri Penggilingan Beras Dan Jagung Dan Industri Tepung Beras Dan Jagung ,Industri Pengolahan
Industri Produk Roti Dan Kue ,Industri Pengolahan
Industri Gula ,Industri Pengolahan
Industri Kue Basah ,Industri Pengolahan
Industri Makanan Dari Kedele Dan Kacang-Kacangan Lainnya Bukan Kecap Tempe Dan Tahu ,Industri Pengolahan
Kerupuk Keripik Peyek ,Industri Pengolahan
Industri Makanan Lainnya ,Industri Pengolahan
Air Minum Dan Mineral ,Industri Pengolahan
Minum Lainnya ,Industri Pengolahan
Tekstil Dan Pakaian Jadi ,Industri Pengolahan
Kulit Barang Dari Kulit Dan Alas Kaki  ,Industri Pengolahan
Kayu Olahan Barang Dari Kayu Gabus Barang Anyaman Dari Bambu Rotan Dan Sejenisnya  ,Industri Pengolahan
Barang Kimia Farmasi Dan Obat Tradisional Bbm ,Industri Pengolahan
Furniture ,Industri Pengolahan
Kertas Barang Dari Kertas Barang Percetakan Dan Reproduksi Media Rekaman  ,Industri Pengolahan
Karet Barang Dari Karet Dan Plastik ,Industri Pengolahan
Barang Galian Bukan Logam ,Industri Pengolahan
Barang Dari Logam Komputer Barang Elektronik Optik Dan Peralatan Listrik ,Industri Pengolahan
Alat Angkutan ,Industri Pengolahan
Barang Industri Pengolahan Lainnya Jasa Reparasi Dan Pemasangan Mesin Dan Peralatan ,Industri Pengolahan
Ketenagalistrikan  ,Pengadaan Listrik Gas
Pengadaan Air Pengolahan Sampah Dan Daur Ulang ,Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang
Hasil Gas Alam Dan Buatan Pengadaan Uap Air/Air Panas Udara Dingin Dan Produk Es ,Pengadaan Listrik Gas
Konstruksi ,Konstruksi
Perdagangan Mobil Sepeda Motor Dan Reparasinya ,Perdagangan Besar dan Eceran Reparasi Mobil dan Sepeda Motor
Perdagangan Besar Dan Eceran ,Perdagangan Besar dan Eceran Reparasi Mobil dan Sepeda Motor
Jasa Angkutan Darat Jalan Raya ,Transportasi dan Pergudangan
Jasa Angkutan Laut Untuk Penumpang ,Transportasi dan Pergudangan
Jasa Angkutan Laut Untuk Barang ,Transportasi dan Pergudangan
Jasa Angkutan Sungai Danau Dan Penyeberangan Untuk Penumpang ,Transportasi dan Pergudangan
Jasa Angkutan Sungai Danau Dan Penyeberangan Untuk Barang ,Transportasi dan Pergudangan
Jasa Angkutan Udara Untuk Penumpang ,Transportasi dan Pergudangan
Jasa Angkutan Udara Untuk Barang ,Transportasi dan Pergudangan
Jasa Penunjang Angkutan ,Transportasi dan Pergudangan
Penyediaan Akomodasi ,Penyediaan Akomodasi dan Makan Minum
Penyediaan Makan Dan Minum ,Penyediaan Akomodasi dan Makan Minum
Jasa Informasi Dan Komunikasi  ,Informasi dan Komunikasi
Jasa Keuangan Perbankan ,Jasa Keuangan dan Asuransi
Jasa Keuangan Lainnya ,Jasa Keuangan dan Asuransi
Jasa Asuransi Dan Dana Pensiun ,Jasa Keuangan dan Asuransi
Jasa Penunjang Keuangan ,Jasa Keuangan dan Asuransi
Jasa Real Estate ,Real Estat
Jasa Hukum Dan Akuntansi ,Jasa Perusahaan
Jasa Ahli Teknis Dan Jasa Bisnis Lainnya  ,Jasa Perusahaan
Jasa Persewaan ,Jasa Perusahaan
Jasa Pendukung ,Jasa Perusahaan
Pemerintahan Umum ,Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib
Jasa Pendidikan Pemerintah ,Jasa Pendidikan
Jasa Pendidikan Swasta ,Jasa Pendidikan
Jasa Kesehatan Dan Kegiatan Sosial Pemerintah ,Jasa Kesehatan dan Kegiatan Sosial
Jasa Kesehatan Swasta ,Jasa Kesehatan dan Kegiatan Sosial
Kesenian Hiburan Dan Rekreasi ,Jasa lainnya
Jasa Lainnya ,Jasa lainnya